SP1,SP2,HP1,HP2,SC,HC,Elastic modulus,Tensile strength,Deformation
20,20,40,20,40,60,4.215,9.767333333,311.23
20,20,20,40,40,60,5.327666667,4.205666667,274.6533333
20,20,10,50,40,60,13.349,13.751,294.2
20,10,60,10,30,70,5.838,10.55433333,418.59
20,10,50,20,30,70,5.5684,8.651333333,205.2766667
20,0,30,50,20,80,28.10536667,17.005,64.052
10,30,50,10,40,60,4.808666667,18.49766667,197.1066667
10,20,60,10,30,70,6.426666667,2.105666667,209.5666667
10,20,10,60,30,70,16.153,10.35,85.56666667
10,10,50,30,20,80,25.1391,10.44266667,29.76666667
10,10,20,60,20,80,30.2365,15.616,97.90933333
10,10,0,80,20,80,74.34166667,6.351,113.314
10,0,80,10,10,90,116.991,7.567,17.638
10,0,10,80,10,90,127.872,10.29266667,25.11666667
5,20,5,70,25,75,23.44933333,4.017333333,237.9166667
5,5,70,20,10,90,119.763,4.559,32.313
5,0,90,5,5,95,137.652,7.305333333,11.84723333
0,10,80,10,10,90,117.9845333,7.821666667,14.585
0,10,10,80,10,90,136.304,4.774333333,25.448
0,5,5,90,5,95,217.165,4.138,9.2576
90,0,5,5,90,10,0.4384,0.399066667,115.5993333
80,5,10,5,85,15,0.6216,0.2543,180.4933333
80,5,5,10,85,15,0.7322,0.298833333,183.91
70,10,10,10,80,20,0.874,0.1423,151.9333333
60,10,20,10,70,30,1.0224,0.1988,249.1433333
60,10,10,20,70,30,2.0232,0.2401,309.4533333
50,30,20,0,80,20,0.4832,0.141633333,795.4466667
50,30,10,10,80,20,0.930133333,0.184666667,438.9266667
50,10,20,20,60,40,2.226,0.3728,405.13
50,10,10,30,60,40,2.965333333,0.354666667,422.2566667
40,30,10,20,70,30,2.188333333,0.152866667,83.16366667
40,10,40,10,50,50,1.704,0.399633333,400.112
40,10,30,20,50,50,2.376,1.313166667,643.6866667
40,10,20,30,50,50,3.3858,0.9615,373.1
40,10,10,40,50,50,4.459166667,0.963366667,448.8833333
30,40,20,10,70,30,1.2,0.1378,278.7166667
30,40,10,20,70,30,2.499,0.195133333,374.79
30,20,40,10,50,50,1.914,0.8342,498.6466667
30,20,10,40,50,50,5.114,1.031766667,446.69
30,20,0,50,50,50,6.65,1.439633333,487.8733333
20,70,5,5,90,10,0.659,0.155766667,853.7133333
20,60,10,10,80,20,1.0095,0.169266667,439.0133333
10,70,10,10,80,20,1.118,0.3205,520.2566667
10,60,20,10,70,30,1.38,0.487066667,384.4633333
10,50,30,10,60,40,1.734,0.305433333,401.01
10,50,10,30,60,40,4.848,0.441266667,375.41
5,90,5,0,95,5,0.3472,0.1943,442.19
5,90,0,5,95,5,1.0422,0.298633333,408.5766667
10,35,20,35,40,60,1.297333333,1.497433333,454.5233333
10,35,20,35,80,20,1.008066667,6.590966667,158.1366667
20,30,10,40,40,60,1.527633333,0.945066667,343.0266667
20,30,20,30,80,20,1.689833333,1.171963333,342.0243333
30,25,15,30,40,60,1.226666667,1.07265,410.408
30,30,15,25,80,20,1.116336667,0.868073333,261.7296667
40,20,30,10,60,40,1.48272,0.7376,320.24
50,10,40,0,30,70,0.97678,1.13504,618.5376667
70,0,20,10,90,10,1.031066667,0.607931333,319.0607
20,20,40,20,50,50,3.217186667,2.562864333,734.8291667
10,15,30,45,20,80,60.07486667,6.038906667,285.6833333
10,20,25,45,60,40,12.19981333,4.872483333,605.8073333
20,15,25,40,20,80,16.96822667,2.524818333,382.8035
20,15,25,40,60,40,3.393316667,0.764389333,338.2651667
30,15,20,35,20,80,2.789245333,0.792961,180.4122333
30,15,20,35,60,40,1.353804,1.051366,470.3447467
50,40,10,0,40,60,1.055666333,0.411114,127.9320667
80,10,0,10,20,80,0.140503667,0.059401,712.9877
30,30,0,40,50,50,1.656436667,0.687181667,218.6119333
20,60,0,20,70,30,2.23092,0.710978667,150.6773733
0,70,20,10,40,60,1.739788,0.496217667,165.4008667
0,50,30,20,70,30,1.293528667,1.119926,444.2616967
0,30,60,10,20,80,11.81653333,1.809767333,292.7041367
0,10,20,70,50,50,65.61742333,3.135016333,7.202266667
